"event","pathogen","start_date","end_date","country","cuml_cases","cuml_confirmed_cases","cuml_deaths","cuml_confirmed_deaths","source"
"Dengue virus_Kenya_2017","Dengue virus","2017-03-23","2017-09-15","",1537,"806","1","","WHO AFRO Region Situation Reports"
"Dengue virus_Kenya_2017","Dengue virus","2017-03-23","2017-09-15","Kenya",1537,"806","1","","WHO AFRO Region Situation Reports"
"Dengue virus_Laos_2017","Dengue virus","2017-01-01","2017-12-22","",11039,"","14","","WHO WPRO Situation Report"
"Dengue virus_Laos_2017","Dengue virus","2017-01-01","2017-12-22","Laos",11039,"","14","","WHO WPRO Situation Report"
"Dengue virus_Laos_2019","Dengue virus","2018-12-31","2019-12-29","",38784,"","70","","WHO WPRO Dengue Situation Updates"
"Dengue virus_Laos_2019","Dengue virus","2018-12-31","2019-12-29","Laos",38784,"","70","","WHO WPRO Dengue Situation Updates"
"Dengue virus_Malaysia_2019","Dengue virus","2018-12-30","2019-12-31","",131000,"","171","","Multisource Fusion"
"Dengue virus_Malaysia_2019","Dengue virus","2018-12-30","2019-12-31","Malaysia",131000,"","171","","Multisource Fusion"
"Dengue virus_Maldives_2019","Dengue virus","2019-01-01","2019-05-08","",1930,"","","","Media"
"Dengue virus_Maldives_2019","Dengue virus","2019-01-01","2019-05-08","Maldives",1930,"","","","Media"
"Dengue virus_Marshall Islands_2019","Dengue virus","2019-05-12","2019-12-15","",1539,"477","1","","Government of Marshall Islands Dengue Situation Reports"
"Dengue virus_Marshall Islands_2019","Dengue virus","2019-05-12","2019-12-15","Marshall Islands",1539,"477","1","","Government of Marshall Islands Dengue Situation Reports"
"Dengue virus_Martinique_2019","Dengue virus","2019-07-01","2020-11-08","",10266,"575","1","","PAHO Epidemiological Alerts"
"Dengue virus_Martinique_2019","Dengue virus","2019-07-01","2020-11-08","Martinique",10266,"575","1","","PAHO Epidemiological Alerts"
"Dengue virus_Mayotte_2020","Dengue virus","2020-01-01","2020-04-17","",3533,"3533","16","16","WHO DON"
"Dengue virus_Mayotte_2020","Dengue virus","2020-01-01","2020-04-17","Mayotte",3533,"3533","16","16","WHO DON"
"Dengue virus_Mexico_2019","Dengue virus","2019-01-06","2019-12-28","",41505,"41505","","","Mexico Secretaria de Salud Boletin Epidemiologico"
"Dengue virus_Mexico_2019","Dengue virus","2019-01-06","2019-12-28","Mexico",41505,"41505","","","Mexico Secretaria de Salud Boletin Epidemiologico"
"Dengue virus_Mexico_2020","Dengue virus","2019-12-29","2021-01-02","",120639,"24313","235","79","Mexico Secretaria de Salud Informe Semanales para la Vigilancia Epidemiologica de Dengue 2020"
"Dengue virus_Mexico_2020","Dengue virus","2019-12-29","2021-01-02","Mexico",120639,"24313","235","79","Mexico Secretaria de Salud Informe Semanales para la Vigilancia Epidemiologica de Dengue 2020"
"Dengue virus_Myanmar_2017","Dengue virus","2017-01-01","2017-08-19","",21288,"","131","","Multisource Fusion"
"Dengue virus_Myanmar_2017","Dengue virus","2017-01-01","2017-08-19","Myanmar (Burma)",21288,"","131","","Multisource Fusion"
"Dengue virus_Nauru_2017","Dengue virus","2017-01-01","2017-05-31","",964,"","3","","WHO WPRO Situation Report"
"Dengue virus_Nauru_2017","Dengue virus","2017-01-01","2017-05-31","Nauru",964,"","3","","WHO WPRO Situation Report"
"Dengue virus_Nepal_2019","Dengue virus","2019-07-17","2019-12-31","",17992,"","6","","Nepal MoPH EDCD Outbreak and Situation Updates"
"Dengue virus_Nepal_2019","Dengue virus","2019-07-17","2019-12-31","Nepal",17992,"","6","","Nepal MoPH EDCD Outbreak and Situation Updates"
"Dengue virus_New Caledonia_2017","Dengue virus","2017-01-02","2017-12-31","",4425,"4381","","","WHO WPRO Situation Report"
"Dengue virus_New Caledonia_2017","Dengue virus","2017-01-02","2017-12-31","New Caledonia",4425,"4381","","","WHO WPRO Situation Report"
"Dengue virus_Nicaragua_2019","Dengue virus","2018-12-30","2019-12-14","",191522,"10230","30","","Nicaragua Ministerio de Salud Boletin Epidemiologico Semanal"
"Dengue virus_Nicaragua_2019","Dengue virus","2018-12-30","2019-12-14","Nicaragua",191522,"10230","30","","Nicaragua Ministerio de Salud Boletin Epidemiologico Semanal"
"Dengue virus_Oman_2018","Dengue virus","2018-11-01","2019-01-13","",112,"3","","","Media"
"Dengue virus_Oman_2018","Dengue virus","2018-11-01","2019-01-13","Oman",112,"3","","","Media"
"Dengue virus_Pakistan_2017","Dengue virus","2017-07-17","2017-11-07","",127963,"32093","80","7","Multisource Fusion"
"Dengue virus_Pakistan_2017","Dengue virus","2017-07-17","2017-11-07","Pakistan",127963,"32093","80","7","Multisource Fusion"
"Dengue virus_Pakistan_2019","Dengue virus","2019-07-08","2020-03-13","",54197,"47120","95","75","Multisource Fusion"
"Dengue virus_Pakistan_2019","Dengue virus","2019-07-08","2020-03-13","Pakistan",54197,"47120","95","75","Multisource Fusion"
"Dengue virus_Palau_2016","Dengue virus","2016-10-01","2017-06-25","",329,"","3","","Ministry of Health of Palau"
"Dengue virus_Palau_2016","Dengue virus","2016-10-01","2017-06-25","Palau",329,"","3","","Ministry of Health of Palau"
"Dengue virus_Palau_2018","Dengue virus","2018-10-28","2019-09-08","",586,"586","2","2","Republic of Palau Ministry of Health Situation Update"
"Dengue virus_Palau_2018","Dengue virus","2018-10-28","2019-09-08","Palau",586,"586","2","2","Republic of Palau Ministry of Health Situation Update"
"Dengue virus_Paraguay_2020","Dengue virus","2019-12-29","2021-01-02","",223782,"62090","75","","Multisource Fusion"
"Dengue virus_Paraguay_2020","Dengue virus","2019-12-29","2021-01-02","Paraguay",223782,"62090","75","","Multisource Fusion"
"Dengue virus_Peru_2017","Dengue virus","2017-01-01","2017-12-31","",68290,"","","","WHO DON"
"Dengue virus_Peru_2017","Dengue virus","2017-01-01","2017-12-31","Peru",68290,"","","","WHO DON"
"Dengue virus_Peru_2020","Dengue virus","2019-12-29","2021-01-02","",56394,"31580","88","42","Peru Ministerio de Salud Boletin Epidemiologico"
"Dengue virus_Peru_2020","Dengue virus","2019-12-29","2021-01-02","Peru",56394,"31580","88","42","Peru Ministerio de Salud Boletin Epidemiologico"
"Dengue virus_Philippines_2018","Dengue virus","2017-12-31","2018-12-31","",199744,"301","907","","Multisource Fusion"
"Dengue virus_Philippines_2018","Dengue virus","2017-12-31","2018-12-31","Philippines",199744,"301","907","","Multisource Fusion"
"Dengue virus_Philippines_2019","Dengue virus","2019-01-01","2019-12-21","",429409,"","1607","","Multisource Fusion"
"Dengue virus_Philippines_2019","Dengue virus","2019-01-01","2019-12-21","Philippines",429409,"","1607","","Multisource Fusion"
"Dengue virus_Reunion_2017","Dengue virus","2017-04-10","2020-12-31","",41225,"41128","42","42","Multisource Fusion"
"Dengue virus_Reunion_2017","Dengue virus","2017-04-10","2020-12-31","Réunion",41225,"41128","42","42","Multisource Fusion"
"Dengue virus_Saint Barthélemy_2019","Dengue virus","2019-12-02","2020-12-06","",936,"936","","","Sante publique France Points Epidemiologiques"
"Dengue virus_Saint Barthélemy_2019","Dengue virus","2019-12-02","2020-12-06","Saint Barthélemy",936,"936","","","Sante publique France Points Epidemiologiques"
"Dengue virus_Saint Lucia_2020","Dengue virus","2020-01-01","2020-10-24","",1253,"888","3","3","Government of Saint Lucia MOH News"
"Dengue virus_Saint Lucia_2020","Dengue virus","2020-01-01","2020-10-24","Saint Lucia",1253,"888","3","3","Government of Saint Lucia MOH News"
"Dengue virus_Saint Martin_2019","Dengue virus","2019-09-30","2020-07-12","",2266,"462","1","","PAHO Epidemiological Alerts"
"Dengue virus_Saint Martin_2019","Dengue virus","2019-09-30","2020-07-12","Saint Martin",2266,"462","1","","PAHO Epidemiological Alerts"
"Dengue virus_Saint Vincent and the Grenadines_2020","Dengue virus","2020-06-01","2020-11-20","",1617,"1617","7","7","Government of SVG MHWE News"
"Dengue virus_Saint Vincent and the Grenadines_2020","Dengue virus","2020-06-01","2020-11-20","Saint Vincent and the Grenadines",1617,"1617","7","7","Government of SVG MHWE News"
"Dengue virus_Seychelles_2015","Dengue virus","2015-12-07","2018-10-21","",6120,"1511","0","","WHO AFRO Weekly Bulletin on Outbreaks and Other Emergencies"
"Dengue virus_Seychelles_2015","Dengue virus","2015-12-07","2018-10-21","Seychelles",6120,"1511","0","","WHO AFRO Weekly Bulletin on Outbreaks and Other Emergencies"
"Dengue virus_Singapore_2019","Dengue virus","2018-12-30","2019-12-28","",15999,"","","","Ministry of Health Singapore Weekly Infectious Disease Bulletin"
"Dengue virus_Singapore_2019","Dengue virus","2018-12-30","2019-12-28","Singapore",15999,"","","","Ministry of Health Singapore Weekly Infectious Disease Bulletin"
"Dengue virus_Singapore_2020","Dengue virus","2019-12-29","2021-01-02","",35315,"","","","Ministry of Health Singapore Weekly Infectious Disease Bulletin"
"Dengue virus_Singapore_2020","Dengue virus","2019-12-29","2021-01-02","Singapore",35315,"","","","Ministry of Health Singapore Weekly Infectious Disease Bulletin"
"Dengue virus_Solomon Islands_2016","Dengue virus","2016-08-15","2017-03-26","",12030,"1455","15","","IFRC"
"Dengue virus_Solomon Islands_2016","Dengue virus","2016-08-15","2017-03-26","Solomon Islands",12030,"1455","15","","IFRC"
"Dengue virus_Spain_2018","Dengue virus","2018-08-19","2018-11-08","",9,"9","","","Multisource Fusion"
"Dengue virus_Spain_2018","Dengue virus","2018-08-19","2018-11-08","Spain",9,"9","","","Multisource Fusion"
"Dengue virus_Spain_2019","Dengue virus","2019-09-05","2019-09-15","",2,"2","","","WHO DON"
"Dengue virus_Spain_2019","Dengue virus","2019-09-05","2019-09-15","Spain",2,"2","","","WHO DON"
"Dengue virus_Sri Lanka_2017","Dengue virus","2017-01-01","2017-12-31","",185688,"","320","","Multisource Fusion"
"Dengue virus_Sri Lanka_2017","Dengue virus","2017-01-01","2017-12-31","Sri Lanka",185688,"","320","","Multisource Fusion"
"Dengue virus_Sri Lanka_2019","Dengue virus","2019-01-01","2019-12-31","",103362,"","","","Sri Lanka MOH Disease Surveillance Trends"
"Dengue virus_Sri Lanka_2019","Dengue virus","2019-01-01","2019-12-31","Sri Lanka",103362,"","","","Sri Lanka MOH Disease Surveillance Trends"
"Dengue virus_Sri Lanka_2020","Dengue virus","2020-01-01","2020-12-31","",31031,"","","","Sri Lanka MOH Disease Surveillance Trends"
"Dengue virus_Sri Lanka_2020","Dengue virus","2020-01-01","2020-12-31","Sri Lanka",31031,"","","","Sri Lanka MOH Disease Surveillance Trends"
"Dengue virus_Sudan_2019","Dengue virus","2019-08-08","2019-11-04","",1197,"","5","","WHO DON"
"Dengue virus_Sudan_2019","Dengue virus","2019-08-08","2019-11-04","Sudan",1197,"","5","","WHO DON"
"Dengue virus_Tanzania_2018","Dengue virus","2018-08-01","2019-10-27","",6917,"6917","13","13","WHO AFRO Weekly Bulletin on Outbreaks and Other Emergencies"
"Dengue virus_Tanzania_2018","Dengue virus","2018-08-01","2019-10-27","Tanzania",6917,"6917","13","13","WHO AFRO Weekly Bulletin on Outbreaks and Other Emergencies"
"Dengue virus_Thailand_2018","Dengue virus","2018-01-01","2018-12-31","",54894,"","8","","Thailand DDC National Disease Surveillance Reports"
"Dengue virus_Thailand_2018","Dengue virus","2018-01-01","2018-12-31","Thailand",54894,"","8","","Thailand DDC National Disease Surveillance Reports"
"Dengue virus_Thailand_2019","Dengue virus","2019-01-01","2019-12-31","",127885,"","33","","Thailand DDC National Disease Surveillance Reports"
"Dengue virus_Thailand_2019","Dengue virus","2019-01-01","2019-12-31","Thailand",127885,"","33","","Thailand DDC National Disease Surveillance Reports"
"Dengue virus_Timor-Leste_2020","Dengue virus","2020-01-01","2020-12-31","",1451,"","10","","WHO DON"
"Dengue virus_Timor-Leste_2020","Dengue virus","2020-01-01","2020-12-31","Timor-Leste",1451,"","10","","WHO DON"
"Dengue virus_United States_2018","Dengue virus","2018-10-01","2018-10-31","",1,"","","","Florida DOH Weekly Arbovirus Reports"
"Dengue virus_United States_2018","Dengue virus","2018-10-01","2018-10-31","United States",1,"","","","Florida DOH Weekly Arbovirus Reports"
"Dengue virus_United States_2019a","Dengue virus","2019-03-01","2019-03-31","",1,"","","","Florida DOH Weekly Arbovirus Reports"
"Dengue virus_United States_2019a","Dengue virus","2019-03-01","2019-03-31","United States",1,"","","","Florida DOH Weekly Arbovirus Reports"
"Dengue virus_United States_2019b","Dengue virus","2019-07-01","2019-12-31","",15,"","","","Florida DOH Weekly Arbovirus Reports"
"Dengue virus_United States_2019b","Dengue virus","2019-07-01","2019-12-31","United States",15,"","","","Florida DOH Weekly Arbovirus Reports"
"Dengue virus_Uruguay_2016","Dengue virus","2016-02-05","2016-03-01","",587,"17","","","WHO DON"
"Dengue virus_Uruguay_2016","Dengue virus","2016-02-05","2016-03-01","Uruguay",587,"17","","","WHO DON"
"Dengue virus_Vanuatu_2016","Dengue virus","2016-11-01","2017-05-31","",2820,"641","","","Multisource Fusion"
"Dengue virus_Vanuatu_2016","Dengue virus","2016-11-01","2017-05-31","Vanuatu",2820,"641","","","Multisource Fusion"
"Dengue virus_Vietnam_2017","Dengue virus","2017-01-01","2017-12-31","",184741,"","32","","WHO WPRO Situation Report"
"Dengue virus_Vietnam_2017","Dengue virus","2017-01-01","2017-12-31","Vietnam",184741,"","32","","WHO WPRO Situation Report"
"Dengue virus_Vietnam_2019","Dengue virus","2019-01-06","2019-12-14","",320702,"","54","","WHO WPRO Dengue Situation Updates"
"Dengue virus_Vietnam_2019","Dengue virus","2019-01-06","2019-12-14","Vietnam",320702,"","54","","WHO WPRO Dengue Situation Updates"
"Dengue virus_Yemen_2018","Dengue virus","2018-01-01","2022-01-03","",160954,"","439","","WHO EMRO Outbreaks"
"Dengue virus_Yemen_2018","Dengue virus","2018-01-01","2022-01-03","Yemen",160954,"","439","","WHO EMRO Outbreaks"
"Dracunculus medinensis_Ethiopia_2015","Dracunculus medinensis","2015-01-01","2015-12-31","",3,"","","","WHO DON"
"Dracunculus medinensis_Ethiopia_2015","Dracunculus medinensis","2015-01-01","2015-12-31","Ethiopia",3,"","","","WHO DON"
"Dracunculus medinensis_Ethiopia_2016","Dracunculus medinensis","2016-01-01","2016-12-31","",3,"","","","WHO DON"
"Dracunculus medinensis_Ethiopia_2016","Dracunculus medinensis","2016-01-01","2016-12-31","Ethiopia",3,"","","","WHO DON"
"Dracunculus medinensis_Ethiopia_2017","Dracunculus medinensis","2017-01-01","2017-12-31","",15,"","","","WHO DON"
"Dracunculus medinensis_Ethiopia_2017","Dracunculus medinensis","2017-01-01","2017-12-31","Ethiopia",15,"","","","WHO DON"
"Dracunculus medinensis_Ethiopia_2020","Dracunculus medinensis","2020-04-02","2020-05-08","",65,"","","","WHO DON"
"Dracunculus medinensis_Ethiopia_2020","Dracunculus medinensis","2020-04-02","2020-05-08","Ethiopia",65,"","","","WHO DON"
"Eastern equine encephalitis virus_United States_2019","Eastern equine encephalitis virus","2019-08-04","2019-12-28","",38,"","","","CDC National Notifiable Infectious Diseases"
"Eastern equine encephalitis virus_United States_2019","Eastern equine encephalitis virus","2019-08-04","2019-12-28","United States",38,"","","","CDC National Notifiable Infectious Diseases"
"Echinococcus multilocularis_Russia_2019","Echinococcus multilocularis","2019-01-28","2019-02-20","",49,"","","","Media"
"Echinococcus multilocularis_Russia_2019","Echinococcus multilocularis","2019-01-28","2019-02-20","Russia",49,"","","","Media"
"Elizabethkingia_United States_2015","Elizabethkingia anophelis","2015-11-01","2016-03-30","",57,"57","18","","WHO DON"
"Elizabethkingia_United States_2015","Elizabethkingia anophelis","2015-11-01","2016-03-30","United States",57,"57","18","","WHO DON"
"Enterobacter hormaechei_Denmark_2020_antibiotic capsules","Enterobacter hormaechei","2020-01-01","2023-09-30","",39,"39","","","Denmark SSI Disease Outbreaks"
"Enterobacter hormaechei_Denmark_2020_antibiotic capsules","Enterobacter hormaechei","2020-01-01","2023-09-30","Denmark",38,"38","0","","Denmark SSI Disease Outbreaks"
"Enterobacter hormaechei_Denmark_2020_antibiotic capsules","Enterobacter hormaechei","2023-02-20","2023-02-20","Iceland",1,"1","","","Denmark SSI Disease Outbreaks"
"Enterovirus D68_France_2018","Enterovirus","2018-01-01","2018-11-14","",61,"61","2","2","Eurosurveillance"
"Enterovirus D68_France_2018","Enterovirus","2018-01-01","2018-11-14","France",61,"61","2","2","Eurosurveillance"
"Enterovirus_Japan_2017","Enterovirus","2017-01-02","2017-12-31","",358764,"","","","National Institute of Infectious Diseases"
"Enterovirus_Japan_2017","Enterovirus","2017-01-02","2017-12-31","Japan",358764,"","","","National Institute of Infectious Diseases"
"Enterovirus_Malaysia_2018","Enterovirus","2018-01-01","2018-10-21","",59003,"","2","","Media"
"Enterovirus_Malaysia_2018","Enterovirus","2018-01-01","2018-10-21","Malaysia",59003,"","2","","Media"
"Enterovirus_Malaysia_2019","Enterovirus","2019-01-01","2019-01-19","",615,"","","","Media"
"Enterovirus_Malaysia_2019","Enterovirus","2019-01-01","2019-01-19","Malaysia",615,"","","","Media"
"Enterovirus_Singapore_2018","Enterovirus","2017-12-31","2018-12-29","",40217,"","","","Ministry of Health Singapore Weekly Infectious Disease Bulletin"
"Enterovirus_Singapore_2018","Enterovirus","2017-12-31","2018-12-29","Singapore",40217,"","","","Ministry of Health Singapore Weekly Infectious Disease Bulletin"
"Extensively drug-resistant Salmonella Typhimurium_Canada_2020_cattle and raw pet food","Salmonella","2020-07-01","2023-09-30","",40,"40","0","","PHAC Public Health Notices"
"Extensively drug-resistant Salmonella Typhimurium_Canada_2020_cattle and raw pet food","Salmonella","2020-07-01","2023-09-30","Canada",40,"40","0","","PHAC Public Health Notices"
"Extensively drug-resistant Shigella sonnei_France_2020_MSM","Shigella sonnei","2020-09-01","2022-02-28","",100,"100","","","WHO DON"
"Extensively drug-resistant Shigella sonnei_France_2020_MSM","Shigella sonnei","2020-09-01","2022-02-28","France",100,"100","","","WHO DON"
"Francisella tularensis_Russia_2017","Francisella tularensis","2017-01-01","2017-12-31","",168,"","","","Rospotrebnadzor"
"Francisella tularensis_Russia_2017","Francisella tularensis","2017-01-01","2017-12-31","Russia",168,"","","","Rospotrebnadzor"
"Francisella tularensis_Spain_2019","Francisella tularensis","2019-07-01","2020-01-07","",96,"74","","","Media"
"Francisella tularensis_Spain_2019","Francisella tularensis","2019-07-01","2020-01-07","Spain",96,"74","","","Media"
"Francisella tularensis_Sweden_2019","Francisella tularensis","2019-01-01","2019-09-29","",960,"","","","Multisource Fusion"
"Francisella tularensis_Sweden_2019","Francisella tularensis","2019-01-01","2019-09-29","Sweden",960,"","","","Multisource Fusion"
"Francisella tularensis_Switzerland_2017","Francisella tularensis","2017-01-01","2017-12-31","",130,"","","","Switzerland BAG Zahlen zu Infektionskrankheiten"
"Francisella tularensis_Switzerland_2017","Francisella tularensis","2017-01-01","2017-12-31","Switzerland",130,"","","","Switzerland BAG Zahlen zu Infektionskrankheiten"
"Guanarito virus_Venezuela_2016","Guanarito virus","2016-01-01","2016-12-31","",158,"10","26","","Multisource Fusion"
"Guanarito virus_Venezuela_2016","Guanarito virus","2016-01-01","2016-12-31","Venezuela",158,"10","26","","Multisource Fusion"
"Guanarito virus_Venezuela_2017","Guanarito virus","2017-01-01","2017-02-25","",57,"2","6","","International Epidemiological Situation"
"Guanarito virus_Venezuela_2017","Guanarito virus","2017-01-01","2017-02-25","Venezuela",57,"2","6","","International Epidemiological Situation"
"Guillain-Barre syndrome_Brazil_2015","Zika virus","2015-01-01","2015-11-30","",1708,"","","","WHO DON"
"Guillain-Barre syndrome_Brazil_2015","Zika virus","2015-01-01","2015-11-30","Brazil",1708,"","","","WHO DON"
"Guillain-Barre syndrome_Colombia_2015","Uncertain etiology","2015-12-14","2016-01-24","",86,"","","","WHO DON"
"Guillain-Barre syndrome_Colombia_2015","Uncertain etiology","2015-12-14","2016-01-24","Colombia",86,"","","","WHO DON"
"Guillain-Barre syndrome_El Salvador_2015","Uncertain etiology","2015-12-01","2016-01-06","",46,"","2","","WHO DON"
"Guillain-Barre syndrome_El Salvador_2015","Uncertain etiology","2015-12-01","2016-01-06","El Salvador",46,"","2","","WHO DON"
"Guillain-Barre syndrome_Martinique_2015","Uncertain etiology","2015-12-26","2016-01-21","",2,"2","","","WHO DON"
"Guillain-Barre syndrome_Martinique_2015","Uncertain etiology","2015-12-26","2016-01-21","Martinique",2,"2","","","WHO DON"
"Guillain-Barre syndrome_Panama_2016","Uncertain etiology","2016-02-19","2016-02-19","",1,"","0","","WHO DON"
"Guillain-Barre syndrome_Panama_2016","Uncertain etiology","2016-02-19","2016-02-19","Panama",1,"","0","","WHO DON"
"Guillain-Barre syndrome_United States_2016","Uncertain etiology","2016-01-01","2016-03-10","",2,"","1","","WHO DON"
"Guillain-Barre syndrome_United States_2016","Uncertain etiology","2016-01-01","2016-03-10","United States",2,"","1","","WHO DON"
"Guillain-Barre syndrome_Venezuela_2016","Uncertain etiology","2016-01-01","2016-01-31","",252,"","1","","WHO DON"
"Guillain-Barre syndrome_Venezuela_2016","Uncertain etiology","2016-01-01","2016-01-31","Venezuela",252,"","1","","WHO DON"
"Haemophilus influenzae type B_Netherlands_2020","Haemophilus influenzae","2020-01-01","2021-08-31","",105,"105","","","Eurosurveillance"
"Haemophilus influenzae type B_Netherlands_2020","Haemophilus influenzae","2020-01-01","2021-08-31","Netherlands",105,"105","","","Eurosurveillance"
"Hantavirus_Argentina_2018","Hantavirus","2017-12-31","2019-02-09","",134,"134","11","11","Argentina Ministerio de Salud Boletin Integrado de Vigilancia"
"Hantavirus_Argentina_2018","Hantavirus","2017-12-31","2019-02-09","Argentina",133,"133","11","11","Argentina Ministerio de Salud Boletin Integrado de Vigilancia"
"Hantavirus_Argentina_2018","Hantavirus","2019-01-02","2019-01-02","Chile",1,"1","","","Argentina Ministerio de Salud Boletin Integrado de Vigilancia"
"Hantavirus_Argentina_2019","Hantavirus","2018-12-30","2019-12-28","",421,"108","5","","Argentina Ministerio de Salud Boletin Integrado de Vigilancia"
"Hantavirus_Argentina_2019","Hantavirus","2018-12-30","2019-12-28","Argentina",421,"108","5","","Argentina Ministerio de Salud Boletin Integrado de Vigilancia"
"Hantavirus_Chile_2016","Hantavirus","2016-01-01","2016-12-31","",51,"","11","","Chile Ministry of Health"
"Hantavirus_Chile_2016","Hantavirus","2016-01-01","2016-12-31","Chile",51,"","11","","Chile Ministry of Health"
"Hantavirus_Chile_2017","Hantavirus","2017-01-01","2017-12-31","",82,"72","24","11","Multisource Fusion"
"Hantavirus_Chile_2017","Hantavirus","2017-01-01","2017-12-31","Chile",82,"72","24","11","Multisource Fusion"
"Hantavirus_France_2017","Hantavirus","2017-01-01","2017-07-21","",55,"","","","Multisource Fusion"
"Hantavirus_France_2017","Hantavirus","2017-01-01","2017-07-21","France",55,"","","","Multisource Fusion"
"Hantavirus_Germany_2017","Hantavirus","2017-01-02","2017-12-31","",1692,"","","","Robert Koch Institute"
"Hantavirus_Germany_2017","Hantavirus","2017-01-02","2017-12-31","Germany",1692,"","","","Robert Koch Institute"
"Hantavirus_Germany_2019","Hantavirus","2018-12-31","2019-12-22","",1451,"","","","Robert Koch Institute Epidemiological Bulletin"
"Hantavirus_Germany_2019","Hantavirus","2018-12-31","2019-12-22","Germany",1451,"","","","Robert Koch Institute Epidemiological Bulletin"
"Hantavirus_Panama_2018","Hantavirus","2017-12-31","2018-12-22","",103,"103","4","4","WHO DON"
"Hantavirus_Panama_2018","Hantavirus","2017-12-31","2018-12-22","Panama",103,"103","4","4","WHO DON"
"Hantavirus_Taiwan_2020","Hantavirus","2020-01-13","2021-07-25","",19,"19","","","Taiwan CDC National Infectious Disease Statistics System"
"Hantavirus_Taiwan_2020","Hantavirus","2020-01-13","2021-07-25","Taiwan",19,"19","","","Taiwan CDC National Infectious Disease Statistics System"
"Hantavirus_United States_2016","Hantavirus","2016-12-01","2017-03-14","",20,"17","","","Multisource Fusion"
"Hantavirus_United States_2016","Hantavirus","2017-02-10","2017-03-01","Canada",3,"","","","Multisource Fusion"
"Hantavirus_United States_2016","Hantavirus","2016-12-01","2017-03-14","United States",17,"17","","","Multisource Fusion"
"Haseki tick virus_Russia_2019","Haseki tick virus","2019-01-01","2019-12-31","",3,"3","","","Ticks and Tick-borne Diseases"
"Haseki tick virus_Russia_2019","Haseki tick virus","2019-01-01","2019-12-31","Russia",3,"3","","","Ticks and Tick-borne Diseases"
"Hepatitis A virus_Chile_2016","Hepatitis A virus","2016-06-01","2017-05-05","",706,"","","","WHO DON"
"Hepatitis A virus_Chile_2016","Hepatitis A virus","2016-06-01","2017-05-05","Chile",706,"","","","WHO DON"
"Hepatitis A virus_Europe_2016","Hepatitis A virus","2016-02-01","2017-10-31","",9559,"1389","1","","Multisource Fusion"
"Hepatitis A virus_Europe_2016","Hepatitis A virus","2016-09-01","2017-07-31","Austria",103,"6","","","Multisource Fusion"
"Hepatitis A virus_Europe_2016","Hepatitis A virus","2016-12-01","2017-06-26","Belgium",234,"32","","","Multisource Fusion"
"Hepatitis A virus_Europe_2016","Hepatitis A virus","2016-08-01","2017-02-22","Denmark",1,"1","","","Multisource Fusion"
"Hepatitis A virus_Europe_2016","Hepatitis A virus","2017-01-01","2017-05-31","Estonia",10,"","","","Multisource Fusion"
"Hepatitis A virus_Europe_2016","Hepatitis A virus","2017-01-01","2017-07-31","Finland",17,"4","","","Multisource Fusion"
"Hepatitis A virus_Europe_2016","Hepatitis A virus","2016-09-01","2017-07-31","France",1149,"322","","","Multisource Fusion"
"Hepatitis A virus_Europe_2016","Hepatitis A virus","2016-08-01","2017-07-31","Germany",589,"66","","","Multisource Fusion"
"Hepatitis A virus_Europe_2016","Hepatitis A virus","2016-10-01","2017-07-31","Ireland",33,"3","","","Multisource Fusion"
"Hepatitis A virus_Europe_2016","Hepatitis A virus","2016-11-27","2017-06-03","Israel",19,"19","","","Multisource Fusion"
"Hepatitis A virus_Europe_2016","Hepatitis A virus","2016-08-01","2017-06-26","Italy",1430,"176","","","Multisource Fusion"
"Hepatitis A virus_Europe_2016","Hepatitis A virus","2017-01-01","2017-07-14","Latvia",10,"","","","Multisource Fusion"
"Hepatitis A virus_Europe_2016","Hepatitis A virus","2017-01-01","2017-08-01","Lithuania",27,"","","","Multisource Fusion"
"Hepatitis A virus_Europe_2016","Hepatitis A virus","2016-12-16","2016-12-16","Luxembourg",1,"1","","","Multisource Fusion"
"Hepatitis A virus_Europe_2016","Hepatitis A virus","2016-09-11","2017-06-26","Netherlands",161,"52","","","Multisource Fusion"
"Hepatitis A virus_Europe_2016","Hepatitis A virus","2017-01-01","2017-10-31","Poland",2206,"","","","Multisource Fusion"
"Hepatitis A virus_Europe_2016","Hepatitis A virus","2016-08-01","2017-07-23","Portugal",425,"204","","","Multisource Fusion"
"Hepatitis A virus_Europe_2016","Hepatitis A virus","2017-01-01","2017-06-21","Slovenia",16,"","","","Multisource Fusion"
"Hepatitis A virus_Europe_2016","Hepatitis A virus","2016-06-01","2017-08-03","Spain",2818,"235","1","","Multisource Fusion"
"Hepatitis A virus_Europe_2016","Hepatitis A virus","2016-02-01","2017-05-31","Sweden",46,"4","","","Multisource Fusion"
"Hepatitis A virus_Europe_2016","Hepatitis A virus","2016-07-01","2017-06-10","United Kingdom",264,"264","","","Multisource Fusion"
"Hepatitis A virus_Europe_2018","Hepatitis A virus","2018-01-08","2018-05-06","",92,"42","","","ECDC Rapid Risk Assessments"
"Hepatitis A virus_Europe_2018","Hepatitis A virus","2018-01-15","2018-05-06","Denmark",9,"9","","","ECDC Rapid Risk Assessments"
"Hepatitis A virus_Europe_2018","Hepatitis A virus","2018-01-15","2018-05-06","France",24,"1","","","ECDC Rapid Risk Assessments"
"Hepatitis A virus_Europe_2018","Hepatitis A virus","2018-01-08","2018-05-06","Germany",19,"1","","","ECDC Rapid Risk Assessments"
